Institution,City,State,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Gordon State College",Barnesville,Georgia,33.07577,-84.145706,1,place,,,"Barnesville, GA 30204",,,,,Barnesville,GA,"Lamar County",30204,US,"TIGER/Line® from the US Census Bureau",,
"Mercer University",Macon,Georgia,32.804382,-83.617554,1,place,,,"Macon, GA 31201",,,,,Macon,GA,"Bibb County",31201,US,"TIGER/Line® from the US Census Bureau",,
"Morehouse College",Atlanta,Georgia,33.844371,-84.47405,1,place,,,"Atlanta, GA 30301",,,,,Atlanta,GA,"Cobb County",30301,US,"TIGER/Line® from the US Census Bureau",,
"Oglethorpe University",Atlanta,Georgia,33.844371,-84.47405,1,place,,,"Atlanta, GA 30301",,,,,Atlanta,GA,"Cobb County",30301,US,"TIGER/Line® from the US Census Bureau",,
"Spelman College",Atlanta,Georgia,33.844371,-84.47405,1,place,,,"Atlanta, GA 30301",,,,,Atlanta,GA,"Cobb County",30301,US,"TIGER/Line® from the US Census Bureau",,
"Thomas University",Thomasville,Georgia,30.853592,-83.888269,1,place,,,"Thomasville, GA 31757",,,,,Thomasville,GA,"Thomas County",31757,US,"TIGER/Line® from the US Census Bureau",,
"Oconee Fall Line Technical College",Sandersville,Georgia,32.974982,-82.840564,1,place,,,"Sandersville, GA 31082",,,,,Sandersville,GA,"Washington County",31082,US,"TIGER/Line® from the US Census Bureau",,
"Aviation Institute of Maintenance-Atlanta",Duluth,Georgia,34.025598,-84.13045,1,place,,,"Duluth, GA 30095",,,,,Duluth,GA,"Gwinnett County",30095,US,"TIGER/Line® from the US Census Bureau",,
"Strayer University-Georgia",Chamblee,Georgia,33.892047,-84.298813,1,place,,,"Chamblee, GA 30341",,,,,Chamblee,GA,"Dekalb County",30341,US,"TIGER/Line® from the US Census Bureau",,
"Chamberlain University-Georgia","Sandy Springs",Georgia,33.924269,-84.378538,1,place,,,"Sandy Springs, GA 30328",,,,,"Sandy Springs",GA,"Fulton County",30328,US,"TIGER/Line® from the US Census Bureau",,
"College of Eastern Idaho","Idaho Falls",Idaho,43.54241,-111.877936,1,place,,,"Idaho Falls, ID 83401",,,,,"Idaho Falls",ID,"Bonneville County",83401,US,"TIGER/Line® from the US Census Bureau",,
"DePaul University",Chicago,Illinois,41.88531,-87.62213,1,place,,,"Chicago, IL 60601",,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® from the US Census Bureau",,
"Eastern Illinois University",Charleston,Illinois,39.499622,-88.160348,1,place,,,"Charleston, IL 61920",,,,,Charleston,IL,"Coles County",61920,US,"TIGER/Line® from the US Census Bureau",,
"University of Illinois Chicago",Chicago,Illinois,41.88531,-87.62213,1,place,,,"Chicago, IL 60601",,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® from the US Census Bureau",,
"Benedictine University",Lisle,Illinois,41.80114,-88.07479,1,place,,,"Lisle, IL 60532",,,,,Lisle,IL,"Dupage County",60532,US,"TIGER/Line® from the US Census Bureau",,
"Illinois Institute of Technology",Chicago,Illinois,41.88531,-87.62213,1,place,,,"Chicago, IL 60601",,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® from the US Census Bureau",,
"Illinois State University",Normal,Illinois,40.529083,-88.958937,1,place,,,"Normal, IL 61761",,,,,Normal,IL,"McLean County",61761,US,"TIGER/Line® from the US Census Bureau",,
"Lewis University",Romeoville,Illinois,41.64038,-88.069621,1,place,,,"Romeoville, IL 60446",,,,,Romeoville,IL,"Will County",60446,US,"TIGER/Line® from the US Census Bureau",,
"Methodist College",Peoria,Illinois,40.693137,-89.589847,1,place,,,"Peoria, IL 61601",,,,,Peoria,IL,"Peoria County",61601,US,"TIGER/Line® from the US Census Bureau",,
"University of St Francis",Joliet,Illinois,41.509668,-88.180211,1,place,,,"Joliet, IL 60431",,,,,Joliet,IL,"Will County",60431,US,"TIGER/Line® from the US Census Bureau",,
"Southern Illinois University-Carbondale",Carbondale,Illinois,37.739004,-89.209109,1,place,,,"Carbondale, IL 62901",,,,,Carbondale,IL,"Jackson County",62901,US,"TIGER/Line® from the US Census Bureau",,
"Western Illinois University",Macomb,Illinois,40.459904,-90.660675,1,place,,,"Macomb, IL 61455",,,,,Macomb,IL,"McDonough County",61455,US,"TIGER/Line® from the US Census Bureau",,
"Rasmussen University-Illinois",Rockford,Illinois,42.33342,-89.157198,1,place,,,"Rockford, IL 61101",,,,,Rockford,IL,"Winnebago County",61101,US,"TIGER/Line® from the US Census Bureau",,
"Chamberlain University-Illinois",Addison,Illinois,41.93106,-88.01305,1,place,,,"Addison, IL 60101",,,,,Addison,IL,"Dupage County",60101,US,"TIGER/Line® from the US Census Bureau",,
"Ball State University",Muncie,Indiana,40.142124,-85.389874,1,place,,,"Muncie, IN 47302",,,,,Muncie,IN,"Delaware County",47302,US,"TIGER/Line® from the US Census Bureau",,
"University of Saint Francis-Fort Wayne","Fort Wayne",Indiana,41.065397,-85.15842,1,place,,,"Fort Wayne, IN 46802",,,,,"Fort Wayne",IN,"Allen County",46802,US,"TIGER/Line® from the US Census Bureau",,
"Chamberlain University-Indiana",Indianapolis,Indiana,39.775092,-86.13216,1,place,,,"Indianapolis, IN 46201",,,,,Indianapolis,IN,"Marion County",46201,US,"TIGER/Line® from the US Census Bureau",,
"Mercy College of Health Sciences","Des Moines",Iowa,41.672687,-93.572173,1,place,,,"Des Moines, IA 50301",,,,,"Des Moines",IA,"Polk County",50301,US,"TIGER/Line® from the US Census Bureau",,
"Northwest Iowa Community College",Sheldon,Iowa,43.170886,-95.792885,1,place,,,"Sheldon, IA 51201",,,,,Sheldon,IA,"O'Brien County",51201,US,"TIGER/Line® from the US Census Bureau",,
"St Luke's College","Sioux City",Iowa,42.494745,-96.399356,1,place,,,"Sioux City, IA 51101",,,,,"Sioux City",IA,"Woodbury County",51101,US,"TIGER/Line® from the US Census Bureau",,
"Baker University","Baldwin City",Kansas,38.821502,-95.223906,1,place,,,"Baldwin City, KS 66006",,,,,"Baldwin City",KS,"Douglas County",66006,US,"TIGER/Line® from the US Census Bureau",,
"Emporia State University",Emporia,Kansas,38.434153,-96.152766,1,place,,,"Emporia, KS 66801",,,,,Emporia,KS,"Lyon County",66801,US,"TIGER/Line® from the US Census Bureau",,
"Flint Hills Technical College",Emporia,Kansas,38.434153,-96.152766,1,place,,,"Emporia, KS 66801",,,,,Emporia,KS,"Lyon County",66801,US,"TIGER/Line® from the US Census Bureau",,
"Haskell Indian Nations University",Lawrence,Kansas,39.023294,-95.208909,1,place,,,"Lawrence, KS 66044",,,,,Lawrence,KS,"Douglas County",66044,US,"TIGER/Line® from the US Census Bureau",,
"Hesston College",Hesston,Kansas,38.137404,-97.443222,1,place,,,"Hesston, KS 67062",,,,,Hesston,KS,"Harvey County",67062,US,"TIGER/Line® from the US Census Bureau",,
"Highland Community College",Highland,Kansas,39.878677,-95.227692,1,place,,,"Highland, KS 66035",,,,,Highland,KS,"Doniphan County",66035,US,"TIGER/Line® from the US Census Bureau",,
"Hutchinson Community College",Hutchinson,Kansas,37.954312,-97.88569,1,place,,,"Hutchinson, KS 67501",,,,,Hutchinson,KS,"Reno County",67501,US,"TIGER/Line® from the US Census Bureau",,
"Manhattan Area Technical College",Manhattan,Kansas,39.209375,-96.564589,1,place,,,"Manhattan, KS 66502",,,,,Manhattan,KS,"Riley County",66502,US,"TIGER/Line® from the US Census Bureau",,
"North Central Kansas Technical College",Beloit,Kansas,39.441631,-98.119189,1,place,,,"Beloit, KS 67420",,,,,Beloit,KS,"Mitchell County",67420,US,"TIGER/Line® from the US Census Bureau",,
"Ottawa University-Ottawa",Ottawa,Kansas,38.564337,-95.282668,1,place,,,"Ottawa, KS 66067",,,,,Ottawa,KS,"Franklin County",66067,US,"TIGER/Line® from the US Census Bureau",,
"Pittsburg State University",Pittsburg,Kansas,37.41088,-94.70496,1,place,,,"Pittsburg, KS 66762",,,,,Pittsburg,KS,"Crawford County",66762,US,"TIGER/Line® from the US Census Bureau",,
"Pratt Community College",Pratt,Kansas,37.63857,-98.758512,1,place,,,"Pratt, KS 67124",,,,,Pratt,KS,"Pratt County",67124,US,"TIGER/Line® from the US Census Bureau",,
"University of Saint Mary",Leavenworth,Kansas,39.279656,-94.982216,1,place,,,"Leavenworth, KS 66048",,,,,Leavenworth,KS,"Leavenworth County",66048,US,"TIGER/Line® from the US Census Bureau",,
"Cleveland University-Kansas City","Overland Park",Kansas,39.02315,-94.669467,1,place,,,"Overland Park, KS 66202",,,,,"Overland Park",KS,"Johnson County",66202,US,"TIGER/Line® from the US Census Bureau",,
"Bellarmine University",Louisville,Kentucky,38.25247,-85.753812,1,place,,,"Louisville, KY 40202",,,,,Louisville,KY,"Jefferson County",40202,US,"TIGER/Line® from the US Census Bureau",,
"Galen College of Nursing-Louisville",Louisville,Kentucky,38.25247,-85.753812,1,place,,,"Louisville, KY 40202",,,,,Louisville,KY,"Jefferson County",40202,US,"TIGER/Line® from the US Census Bureau",,
"Eastern Kentucky University",Richmond,Kentucky,37.764867,-84.296913,1,place,,,"Richmond, KY 40475",,,,,Richmond,KY,"Madison County",40475,US,"TIGER/Line® from the US Census Bureau",,
"Henderson Community College",Henderson,Kentucky,37.807173,-87.599052,1,place,,,"Henderson, KY 42419",,,,,Henderson,KY,"Henderson County",42419,US,"TIGER/Line® from the US Census Bureau",,
"University of Louisville",Louisville,Kentucky,38.25247,-85.753812,1,place,,,"Louisville, KY 40202",,,,,Louisville,KY,"Jefferson County",40202,US,"TIGER/Line® from the US Census Bureau",,
"Spalding University",Louisville,Kentucky,38.25247,-85.753812,1,place,,,"Louisville, KY 40202",,,,,Louisville,KY,"Jefferson County",40202,US,"TIGER/Line® from the US Census Bureau",,
"ITI Technical College","Baton Rouge",Louisiana,30.44924,-91.185607,1,place,,,"Baton Rouge, LA 70801",,,,,"Baton Rouge",LA,"East Baton Rouge Parish",70801,US,"TIGER/Line® from the US Census Bureau",,
"University of Holy Cross","New Orleans",Louisiana,29.958304,-90.077,1,place,,,"New Orleans, LA 70112",,,,,"New Orleans",LA,"Orleans Parish",70112,US,"TIGER/Line® from the US Census Bureau",,
"Northshore Technical Community College",Lacombe,Louisiana,30.386606,-89.900397,1,place,,,"Lacombe, LA 70445",,,,,Lacombe,LA,"St. Tammany Parish",70445,US,"TIGER/Line® from the US Census Bureau",,
"Xavier University of Louisiana","New Orleans",Louisiana,29.958304,-90.077,1,place,,,"New Orleans, LA 70112",,,,,"New Orleans",LA,"Orleans Parish",70112,US,"TIGER/Line® from the US Census Bureau",,
"Herzing University-New Orleans",Metairie,Louisiana,29.984643,-90.161821,1,place,,,"Metairie, LA 70001",,,,,Metairie,LA,"Jefferson Parish",70001,US,"TIGER/Line® from the US Census Bureau",,
"Maine College of Health Professions",Lewiston,Maine,44.086323,-70.169297,1,place,,,"Lewiston, ME 04240",,,,,Lewiston,ME,"Androscoggin County",04240,US,"TIGER/Line® from the US Census Bureau",,
"Kennebec Valley Community College",Fairfield,Maine,44.646261,-69.680158,1,place,,,"Fairfield, ME 04937",,,,,Fairfield,ME,"Somerset County",04937,US,"TIGER/Line® from the US Census Bureau",,
"University of Maine at Fort Kent","Fort Kent",Maine,47.26484,-68.58101,1,place,,,"Fort Kent, ME 04743",,,,,"Fort Kent",ME,"Aroostook County",04743,US,"TIGER/Line® from the US Census Bureau",,
"Capitol Technology University",Laurel,Maryland,39.093136,-76.881945,1,place,,,"Laurel, MD 20707",,,,,Laurel,MD,"Prince George's County",20707,US,"TIGER/Line® from the US Census Bureau",,
"Washington Adventist University","Takoma Park",Maryland,38.98236,-77.005798,1,place,,,"Takoma Park, MD 20912",,,,,"Takoma Park",MD,"Montgomery County",20912,US,"TIGER/Line® from the US Census Bureau",,
"Frostburg State University",Frostburg,Maryland,39.64206,-78.912502,1,place,,,"Frostburg, MD 21532",,,,,Frostburg,MD,"Allegany County",21532,US,"TIGER/Line® from the US Census Bureau",,
"University of Maryland Global Campus",Adelphi,Maryland,39.713941,-76.651296,1,place,,,"Maryland Line, MD 21105",,,,,"Maryland Line",MD,"Baltimore County",21105,US,"TIGER/Line® from the US Census Bureau",,
"University of Maryland Eastern Shore","Princess Anne",Maryland,38.200553,-75.75292,1,place,,,"Princess Anne, MD 21853",,,,,"Princess Anne",MD,"Somerset County",21853,US,"TIGER/Line® from the US Census Bureau",,
"Notre Dame of Maryland University",Baltimore,Maryland,39.296536,-76.623489,1,place,,,"Baltimore, MD 21201",,,,,Baltimore,MD,"Baltimore City",21201,US,"TIGER/Line® from the US Census Bureau",,
"Cambridge College",Boston,Massachusetts,42.354318,-71.073449,1,place,,,"Boston, MA 02106",,,,,Boston,MA,"Suffolk County",02106,US,"TIGER/Line® from the US Census Bureau",,
"Laboure College of Healthcare",Milton,Massachusetts,42.240598,-71.078494,1,place,,,"Milton, MA 02186",,,,,Milton,MA,"Norfolk County",02186,US,"TIGER/Line® from the US Census Bureau",,
"MCPHS University",Boston,Massachusetts,42.354318,-71.073449,1,place,,,"Boston, MA 02106",,,,,Boston,MA,"Suffolk County",02106,US,"TIGER/Line® from the US Census Bureau",,
"University of Massachusetts-Dartmouth","North Dartmouth",Massachusetts,41.756214,-71.067062,1,place,,,"Dartmouth, MA 02714",,,,,Dartmouth,MA,"Bristol County",02714,US,"TIGER/Line® from the US Census Bureau",,
"Wentworth Institute of Technology",Boston,Massachusetts,42.354318,-71.073449,1,place,,,"Boston, MA 02106",,,,,Boston,MA,"Suffolk County",02106,US,"TIGER/Line® from the US Census Bureau",,
"Albion College",Albion,Michigan,42.2906,-84.792885,1,place,,,"Albion, MI 49224",,,,,Albion,MI,"Calhoun County",49224,US,"TIGER/Line® from the US Census Bureau",,
"Alpena Community College",Alpena,Michigan,45.033143,-83.495091,1,place,,,"Alpena, MI 49707",,,,,Alpena,MI,"Alpena County",49707,US,"TIGER/Line® from the US Census Bureau",,
"Central Michigan University","Mount Pleasant",Michigan,43.640574,-84.847417,1,place,,,"Mount Pleasant, MI 48804",,,,,"Mount Pleasant",MI,"Isabella County",48804,US,"TIGER/Line® from the US Census Bureau",,
"Cleary University",Howell,Michigan,42.575483,-83.923411,1,place,,,"Howell, MI 48843",,,,,Howell,MI,"Livingston County",48843,US,"TIGER/Line® from the US Census Bureau",,
"College for Creative Studies",Detroit,Michigan,42.347021,-83.060184,1,place,,,"Detroit, MI 48201",,,,,Detroit,MI,"Wayne County",48201,US,"TIGER/Line® from the US Census Bureau",,
"MIAT College of Technology",Canton,Michigan,42.325573,-83.483576,1,place,,,"Canton, MI 48187",,,,,Canton,MI,"Wayne County",48187,US,"TIGER/Line® from the US Census Bureau",,
"University of Detroit Mercy",Detroit,Michigan,42.347021,-83.060184,1,place,,,"Detroit, MI 48201",,,,,Detroit,MI,"Wayne County",48201,US,"TIGER/Line® from the US Census Bureau",,
"Ferris State University","Big Rapids",Michigan,43.69808,-85.48366,1,place,,,"Big Rapids, MI 49307",,,,,"Big Rapids",MI,"Mecosta County",49307,US,"TIGER/Line® from the US Census Bureau",,
"University of Michigan-Dearborn",Dearborn,Michigan,42.310037,-83.177625,1,place,,,"Dearborn, MI 48120",,,,,Dearborn,MI,"Wayne County",48120,US,"TIGER/Line® from the US Census Bureau",,
"University of Michigan-Flint",Flint,Michigan,42.965926,-83.780835,1,place,,,"Flint, MI 48501",,,,,Flint,MI,"Genesee County",48501,US,"TIGER/Line® from the US Census Bureau",,
"Siena Heights University",Adrian,Michigan,41.889943,-84.065892,1,place,,,"Adrian, MI 49221",,,,,Adrian,MI,"Lenawee County",49221,US,"TIGER/Line® from the US Census Bureau",,
"Bay Mills Community College",Brimley,Michigan,46.389131,-84.698136,1,place,,,"Brimley, MI 49715",,,,,Brimley,MI,"Chippewa County",49715,US,"TIGER/Line® from the US Census Bureau",,
"Walden University",Minneapolis,Minnesota,44.984577,-93.269097,1,place,,,"Minneapolis, MN 55401",,,,,Minneapolis,MN,"Hennepin County",55401,US,"TIGER/Line® from the US Census Bureau",,
"University of Minnesota-Duluth",Duluth,Minnesota,47.005566,-92.001934,1,place,,,"Duluth, MN 55801",,,,,Duluth,MN,"St. Louis County",55801,US,"TIGER/Line® from the US Census Bureau",,
"University of St Thomas","Saint Paul",Minnesota,44.951483,-93.090649,1,place,,,"Saint Paul, MN 55101",,,,,"Saint Paul",MN,"Ramsey County",55101,US,"TIGER/Line® from the US Census Bureau",,
"St Catherine University","Saint Paul",Minnesota,44.951483,-93.090649,1,place,,,"Saint Paul, MN 55101",,,,,"Saint Paul",MN,"Ramsey County",55101,US,"TIGER/Line® from the US Census Bureau",,
"Capella University",Minneapolis,Minnesota,44.984577,-93.269097,1,place,,,"Minneapolis, MN 55401",,,,,Minneapolis,MN,"Hennepin County",55401,US,"TIGER/Line® from the US Census Bureau",,
"Leech Lake Tribal College","Cass Lake",Minnesota,47.327719,-94.476853,1,place,,,"Cass Lake, MN 56633",,,,,"Cass Lake",MN,"Cass County",56633,US,"TIGER/Line® from the US Census Bureau",,
"White Earth Tribal and Community College",Mahnomen,Minnesota,47.287889,-95.939586,1,place,,,"Mahnomen, MN 56557",,,,,Mahnomen,MN,"Mahnomen County",56557,US,"TIGER/Line® from the US Census Bureau",,
"University of Minnesota-Rochester",Rochester,Minnesota,44.075285,-92.516916,1,place,,,"Rochester, MN 55901",,,,,Rochester,MN,"Olmsted County",55901,US,"TIGER/Line® from the US Census Bureau",,
"Alcorn State University","Alcorn State",Mississippi,34.936912,-88.558633,1,street_center,"Alcorn Dr",,"Corinth, MS 38834",,"Alcorn Dr",,,Corinth,MS,"Alcorn County",38834,US,"TIGER/Line® from the US Census Bureau",gcod_ussvwwttz36u69ge,
"Mississippi University for Women",Columbus,Mississippi,33.393933,-88.504719,1,place,,,"Columbus, MS 39701",,,,,Columbus,MS,"Lowndes County",39701,US,"TIGER/Line® from the US Census Bureau",,
"Cox College",Springfield,Missouri,37.25807,-93.343673,1,place,,,"Springfield, MO 65801",,,,,Springfield,MO,"Greene County",65801,US,"TIGER/Line® from the US Census Bureau",,
"Maryville University of Saint Louis","Saint Louis",Missouri,38.631501,-90.19231,1,place,,,"Saint Louis, MO 63101",,,,,"Saint Louis",MO,"St. Louis City",63101,US,"TIGER/Line® from the US Census Bureau",,
"Moberly Area Community College",Moberly,Missouri,39.425513,-92.428348,1,place,,,"Moberly, MO 65270",,,,,Moberly,MO,"Randolph County",65270,US,"TIGER/Line® from the US Census Bureau",,
"Park University",Parkville,Missouri,39.195003,-94.682181,1,place,,,"Parkville, MO 64152",,,,,Parkville,MO,"Platte County",64152,US,"TIGER/Line® from the US Census Bureau",,
"Ranken Technical College","Saint Louis",Missouri,38.631501,-90.19231,1,place,,,"Saint Louis, MO 63101",,,,,"Saint Louis",MO,"St. Louis City",63101,US,"TIGER/Line® from the US Census Bureau",,
"Rockhurst University","Kansas City",Missouri,39.102404,-94.598583,1,place,,,"Kansas City, MO 64101",,,,,"Kansas City",MO,"Jackson County",64101,US,"TIGER/Line® from the US Census Bureau",,
"Missouri State University-West Plains","West Plains",Missouri,36.74651,-91.882912,1,place,,,"West Plains, MO 65775",,,,,"West Plains",MO,"Howell County",65775,US,"TIGER/Line® from the US Census Bureau",,
"North Central Missouri College",Trenton,Missouri,40.083658,-93.598888,1,place,,,"Trenton, MO 64683",,,,,Trenton,MO,"Grundy County",64683,US,"TIGER/Line® from the US Census Bureau",,
"William Jewell College",Liberty,Missouri,39.298945,-94.436314,1,place,,,"Liberty, MO 64068",,,,,Liberty,MO,"Clay County",64068,US,"TIGER/Line® from the US Census Bureau",,
"Southeast Missouri Hospital College of Nursing and Health
Sciences","Cape Girardeau",Missouri,37.335289,-89.574605,1,place,,,"Cape Girardeau, MO 63701",,,,,"Cape Girardeau",MO,"Cape Girardeau County",63701,US,"TIGER/Line® from the US Census Bureau",,
"Chamberlain University-Missouri","St. Louis",Missouri,38.631501,-90.19231,1,place,,,"Saint Louis, MO 63101",,,,,"Saint Louis",MO,"St. Louis City",63101,US,"TIGER/Line® from the US Census Bureau",,
"Blackfeet Community College",Browning,Montana,48.55692,-113.01342,1,place,,,"Browning, MT 59417",,,,,Browning,MT,"Glacier County",59417,US,"TIGER/Line® from the US Census Bureau",,
"Highlands College of Montana Tech",Butte,Montana,45.997895,-112.598765,1,place,,,"Butte, MT 59701",,,,,Butte,MT,"Silver Bow County",59701,US,"TIGER/Line® from the US Census Bureau",,
"Aaniiih Nakoda College",Harlem,Montana,48.655123,-108.818157,1,place,,,"Harlem, MT 59526",,,,,Harlem,MT,"Blaine County",59526,US,"TIGER/Line® from the US Census Bureau",,
"Fort Peck Community College",Poplar,Montana,48.115522,-105.189701,1,place,,,"Poplar, MT 59255",,,,,Poplar,MT,"Roosevelt County",59255,US,"TIGER/Line® from the US Census Bureau",,
"Little Big Horn College","Crow Agency",Montana,45.608203,-107.469868,1,place,,,"Crow Agency, MT 59022",,,,,"Crow Agency",MT,"Big Horn County",59022,US,"TIGER/Line® from the US Census Bureau",,
"Miles Community College","Miles City",Montana,46.447808,-105.795343,1,place,,,"Miles City, MT 59301",,,,,"Miles City",MT,"Custer County",59301,US,"TIGER/Line® from the US Census Bureau",,
"Salish Kootenai College",Pablo,Montana,47.60021,-114.119,1,place,,,"Pablo, MT 59855",,,,,Pablo,MT,"Lake County",59855,US,"TIGER/Line® from the US Census Bureau",,
"Bellevue University",Bellevue,Nebraska,41.132948,-95.903956,1,place,,,"Bellevue, NE 68005",,,,,Bellevue,NE,"Sarpy County",68005,US,"TIGER/Line® from the US Census Bureau",,
"Clarkson College",Omaha,Nebraska,41.262003,-95.933564,1,place,,,"Omaha, NE 68102",,,,,Omaha,NE,"Douglas County",68102,US,"TIGER/Line® from the US Census Bureau",,
"Nebraska Methodist College of Nursing & Allied Health",Omaha,Nebraska,41.262003,-95.933564,1,place,,,"Omaha, NE 68102",,,,,Omaha,NE,"Douglas County",68102,US,"TIGER/Line® from the US Census Bureau",,
"College of Saint Mary",Omaha,Nebraska,41.262003,-95.933564,1,place,,,"Omaha, NE 68102",,,,,Omaha,NE,"Douglas County",68102,US,"TIGER/Line® from the US Census Bureau",,
"Little Priest Tribal College",Winnebago,Nebraska,42.238161,-96.472847,1,place,,,"Winnebago, NE 68071",,,,,Winnebago,NE,"Thurston County",68071,US,"TIGER/Line® from the US Census Bureau",,
"New Jersey Institute of Technology",Newark,"New Jersey",40.735642,-74.173988,1,place,,,"Newark, NJ 07102",,,,,Newark,NJ,"Essex County",07102,US,"TIGER/Line® from the US Census Bureau",,
"Rutgers University-Newark",Newark,"New Jersey",40.735642,-74.173988,1,place,,,"Newark, NJ 07102",,,,,Newark,NJ,"Essex County",07102,US,"TIGER/Line® from the US Census Bureau",,
"Rutgers University-Camden",Camden,"New Jersey",39.80237,-74.938259,1,place,,,"Camden, NJ 08101",,,,,Camden,NJ,"Camden County",08101,US,"TIGER/Line® from the US Census Bureau",,
"Seton Hall University","South Orange","New Jersey",40.723788,-74.176465,0.75,street_center,"South St",,"Newark, NJ 07102",,"South St",,,Newark,NJ,"Essex County",07102,US,"TIGER/Line® from the US Census Bureau",gcod_uss8zxxf8kyzkqld,
"Eastwick College-Ramsey",Ramsey,"New Jersey",41.059124,-74.133441,1,place,,,"Ramsey, NJ 07446",,,,,Ramsey,NJ,"Bergen County",07446,US,"TIGER/Line® from the US Census Bureau",,
"Felician University",Lodi,"New Jersey",40.878349,-74.081335,1,place,,,"Lodi, NJ 07644",,,,,Lodi,NJ,"Bergen County",07644,US,"TIGER/Line® from the US Census Bureau",,
"Jersey College",Teterboro,"New Jersey",40.863954,-74.055584,1,place,,,"Teterboro, NJ 07608",,,,,Teterboro,NJ,"Bergen County",07608,US,"TIGER/Line® from the US Census Bureau",,
